question	answers
「abc 〜the first〜」へようこそ!さて、ABC・・・と始まるアルファベットは、全部で何文字でしょう?	26文字
人気漫画『ドラえもん』の登場人物で、ジャイアンの苗字は剛田ですが、スネ夫の苗字は何でしょう?	骨川
格闘家ボブ・サップの出身国はどこでしょう?	アメリカ
ロシア語で「城」という意味がある、ロシアの大統領府の別名は何でしょう?	クレムリン
織田信長、豊臣秀吉、徳川家康という3人の戦国武将の性格を表現するのに用いられる鳥は何でしょう?	ホトトギス
人気タレント・タモリの本名は何でしょう?	森田一義
2つのサイコロをふったとき、ゾロ目が出る確率は何分のいくつでしょう?	6分の1
「国際連合」の旗に描かれている植物といったら何でしょう?	オリーブ
アンデルセンの自叙伝とも言われている物語で、いじめられっこが実は白鳥だったというお話は何でしょう?	みにくいあひるの子
男性の声の音域で、テノールとバスの間に当たるのは何でしょう?	バリトン
中華料理の飲茶で使われる、軽食やお菓子のことを何というでしょう?	点心
「たけやぶやけた」などのように、前から読んでも後ろから読んでも同じになる文章を何というでしょう?	回文
ゴルフボールの表面につけられているくぼみのことを何というでしょう?	ディンプル
別名を『ラ・ジョコンダ』という、レオナルド・ダ・ヴィンチが描いた絵画といえば何でしょう?	モナ・リザ
「東京湾」は2つの半島に囲まれていますが、それは房総半島と何半島でしょう?	三浦半島
市販の自動車に手を加えて、性能を高めることを英語で何というでしょう?	チューンナップ
1840年に勃発し、香港がイギリスに割譲される結果に終わった戦争を、原因となった麻薬から何というでしょう?	アヘン戦争
気象用語で「平年」といえば、過去何年間の平均値のことでしょう?	30年
1号は本郷猛、2号は一文字隼人がその正体である、テレビヒーローといえば何でしょう?	仮面ライダー
日本国憲法に定められている国民の三大義務とは、勤労、教育と何でしょう?	納税
太棹、中棹、細棹といえば、どんな楽器の種類でしょう?	三味線
代表作に『日本の黒い霧』や『点と線』などがある、推理作家は誰でしょう?	松本清張
料理のときに使う計量スプーンで、大さじ1杯といったら通常何ccでしょう?	15cc
スキー板に靴を取り付けるための締め具のことを何というでしょう?	ビンディング
オーストラリアの国旗に星は6つありますが、ニュージーランドの国旗には星がいくつあるでしょう?	4つ
1934年には天然記念物に指定された、学名を「ニッポニア・ニッポン」という鳥といえば何でしょう?	トキ
火を神聖視するために「拝火教」の別名がある、紀元前6世紀のペルシアで始まった宗教は何教でしょう?	ゾロアスター教
テレビの視聴率調査における「ゴールデンタイム」とは、午後7時から何時までのことでしょう?	午後10時
他には影響を及ぼさない、狭い範囲でのもめ事のことを、「何の中の嵐」というでしょう?	コップ
701年に藤原不比等らが長部親王らと共に作り上げた、国家の基本法典を何というでしょう?	大宝律令
妊娠5ヶ月目の戌の日に体に付ける、胎児を保護するためにする帯を何というでしょう?	岩田帯
セルバンテスの小説『ドン・キホーテ』で、ドン・キホーテが巨人と間違えて襲いかかったものは何でしょう?	風車
ボウリングの球の重さを表す単位は何でしょう?	ポンド
その色合いが鳩の血のように見えることから、最高級のルビーのことを何というでしょう?	ピジョンブラッド
箱根や富士などの火山から噴き出した灰が積もって形成された、広く関東地方をおおっている赤い粘土質の地層を何というでしょう?	関東ローム層
地方から東京へ出ることを「上京」といいますが、地方から京都へ出ることを何といったでしょう?	上洛
日本の国宝第1号に認定された弥勒菩薩像がある、京都の寺はどこでしょう?	広隆寺
牛2頭で1日に耕した面積が起源といわれる、ヤード・ポンド法の面積の単位は何でしょう?	エーカー
『学校』シリーズや、『男はつらいよ』シリーズで知られる映画監督といえば誰でしょう?	山田洋次
いわゆる「四書五経」の「四書」とは、『大学』『孟子』『論語』と何でしょう?	中庸
春の七草で「すずな」といえば蕪のことですが、「すずしろ」といえば何のことでしょう?	大根
今年の元日に決勝が行われたサッカー天皇杯で、初優勝を飾ったチームは何でしょう?	京都パープルサンガ
ことわざ「弘法も筆の誤り」で、弘法大師が間違えたとされる文字は何でしょう?	応
南米の国、ウルグアイとパラグアイは、共にどこの国の領土から独立したでしょう?	スペイン
北原白秋作詞の童謡『あわて床屋』の中で、床屋に行ったお客である動物は何でしょう?	ウサギ
『Tokyo Walker』や『Kansai Walker』などの、「Walker」シリーズを発行している出版社といえばどこでしょう?	角川書店
50km以上250km以下の短い路線を運行する「地域航空輸送」を、英語で何というでしょう?	コミューター航空
ロウソクの炎を3つに分けると外炎、内炎と何でしょう?	炎心
2つ以上の文字を組み合わせて図案化したもののことで、特にルイ・ヴィトンのものが知られるのは何でしょう?	モノグラム
東京の落語家で、真打ちと前座の中間にあるランクを何というでしょう?	二ツ目
大相撲の第68代横綱・朝青龍は何部屋の力士でしょう?	高砂部屋
ギリシャ神話で、ろうで固めた翼で空を飛んだものの、太陽の熱でろうが溶けて墜落死したのは誰でしょう?	イカロス
1924年以降、南アフリカの各地で発見され、ラテン語で「南の猿」という意味の名がつけられた化石人類は何でしょう?	アウストラロピテクス
デモテープ、デモ行進のデモとは、どんな言葉を略したものでしょう?	デモンストレーション
